,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release_Date,MPAA Rating,Running Time (min),Distributor,Source,Type,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
348,Gallipoli,5732587,5732587,NA,3000000,28-Aug-81,NA,NA,NA,NA,NA,NA,Peter Weir,86,7.7,14139
349,Gabriela,2335352,2335352,NA,50000,16-Mar-01,R,NA,Power Point Films,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.5,1399
350,"Il buono, il brutto, il cattivo",6100000,6100000,NA,1200000,29-Dec-67,NA,NA,United Artists,Original Screenplay,Western,Historical Fiction,Sergio Leone,NA,6.8,104
351,Graduation Day,23894000,23894000,NA,250000,1-May-81,NA,NA,NA,NA,Thriller/Suspense,NA,NA,NA,3,836
352,The Godfather: Part II,57300000,57300000,NA,13000000,11-Dec-74,NA,NA,Paramount Pictures,NA,NA,Historical Fiction,Francis Ford Coppola,NA,9,245271
353,The Godfather: Part III,66520529,66520529,NA,54000000,25-Dec-90,NA,NA,Paramount Pictures,NA,Drama,Historical Fiction,Francis Ford Coppola,NA,7.6,82977
354,Goodfellas,46743809,46743809,NA,25000000,19-Sep-90,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Martin Scorsese,97,8.8,229156
355,The Godfather,134966411,268500000,NA,7000000,15-Mar-72,NA,NA,Paramount Pictures,NA,NA,Historical Fiction,Francis Ford Coppola,100,9.2,411088
356,God's Army,2637726,2652515,NA,300000,10-Mar-00,PG,NA,Excel Entertainment,Original Screenplay,Drama,Contemporary Fiction,NA,50,6.8,638
357,The Great Escape,11744471,11744471,NA,4000000,8-Aug-63,NA,NA,MGM,NA,NA,NA,John Sturges,91,8.4,62074
358,Gory Gory Hallelujah,12604,12604,NA,425000,21-Jan-05,Not Rated,100,Indican Pictures,Original Screenplay,Musical,NA,Sue Corcoran,NA,5.2,134
359,Ghost,217631306,517600000,NA,22000000,13-Jul-90,NA,NA,Paramount Pictures,Original Screenplay,Drama,Fantasy,Jerry Zucker,81,6.9,51125
360,Ghostbusters,238632124,291632124,NA,30000000,8-Jun-84,PG,NA,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,NA,6.8,358
361,Girl 6,4880941,4880941,NA,12000000,22-Mar-96,R,NA,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,34,4.9,3348
362,Goldeneye,106429941,356429941,NA,60000000,17-Nov-95,PG-13,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,80,7.2,69199
363,The Glimmer Man,20404841,36404841,NA,45000000,4-Oct-96,R,92,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,NA,13,4.9,7230
364,Glory,26593580,26593580,NA,18000000,14-Dec-89,NA,NA,Sony Pictures,Based on Book/Short Story,Action,Dramatization,Edward Zwick,93,8,56427
365,The Gambler,51773,101773,NA,3000000,4-Aug-99,R,NA,NA,NA,Drama,NA,NA,NA,6.1,199
366,Good Morning Vietnam,123922370,123922370,NA,13000000,23-Dec-87,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,NA,7.2,32609
367,Gandhi,52767889,52767889,NA,22000000,8-Dec-82,NA,NA,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Sir Richard Attenborough,85,8.2,50881
368,A Guy Named Joe,5363000,5363000,NA,2627000,24-Dec-43,NA,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.9,869
369,Gentleman's Agreement,7800000,7800000,NA,2000000,1947,NA,NA,NA,NA,NA,NA,Elia Kazan,83,7.4,4637
370,Get on the Bus,5691854,5691854,NA,2400000,16-Oct-96,R,NA,Sony Pictures,Based on Real Life Events,Drama,Historical Fiction,Spike Lee,87,6.7,2701
371,The Golden Child,79817937,79817937,NA,12000000,12-Dec-86,NA,NA,Paramount Pictures,Original Screenplay,Action,Fantasy,Michael Ritchie,26,5.4,14471
372,Good Dick,28835,28835,NA,200000,10-Oct-08,R,NA,Present Pictures/Morning Knight,Original Screenplay,Drama,Contemporary Fiction,NA,NA,6.4,3004
373,Goldfinger,51100000,124900000,NA,3000000,22-Dec-64,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,96,7.9,47095
374,Groundhog Day,70906973,70906973,NA,14600000,12-Feb-93,PG,NA,Sony/Columbia,Original Screenplay,Comedy,Fantasy,Harold Ramis,96,8.2,134964
375,Gremlins,148168459,148168459,NA,11000000,8-Jun-84,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,78,7,42163
376,Get Real,1152411,1152411,NA,2000000,30-Apr-99,R,NA,Paramount Pictures,Based on Play,Comedy,Contemporary Fiction,NA,NA,7.5,6026
377,Gremlins 2: The New Batch,41476097,41476097,NA,50000000,15-Jun-90,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,NA,6.1,22712
378,The Greatest Story Ever Told,15473333,15473333,NA,20000000,15-Feb-65,G,NA,MGM,Based on Book/Short Story,Drama,NA,David Lean,39,6.3,3300
379,The Gospel of John,4068087,4068087,NA,11000000,26-Sep-03,PG-13,NA,ThinkFilm,Original Screenplay,Drama,Dramatization,NA,NA,NA,NA
380,The Greatest Show on Earth,36000000,36000000,NA,4000000,10-Jan-52,NA,NA,NA,NA,NA,NA,NA,41,6.8,4264
381,The First Great Train Robbery,391942,391942,NA,6000000,2-Feb-79,NA,NA,United Artists,Based on Book/Short Story,Action,NA,Michael Crichton,NA,6.9,5141
382,Get Shorty,72021008,115021008,NA,30250000,20-Oct-95,R,NA,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,Barry Sonnenfeld,86,6.9,33364
383,Gettysburg,10731997,10731997,NA,25000000,8-Oct-93,NA,NA,New Line,NA,Drama,NA,NA,87,7.6,11215
384,Guiana 1838,227241,227241,NA,1000000,24-Sep-04,Not Rated,NA,RBC Radio,Based on Real Life Events,Drama,Dramatization,NA,NA,NA,NA
385,Gone with the Wind,198680470,390525192,NA,3900000,15-Dec-39,G,222,MGM,Based on Book/Short Story,Drama,Historical Fiction,George Cukor,97,8.2,78947
386,Happiness,2746453,5746453,NA,3000000,16-Oct-98,Not Rated,NA,Good Machine Releasing,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,84,6.5,64
387,Harley Davidson and the Marlboro Man,7018525,7018525,NA,23000000,23-Aug-91,NA,NA,MGM,Original Screenplay,Action,Science Fiction,Simon Wincer,27,5.3,6995
388,Heavy Metal,19571091,19571091,NA,9300000,7-Aug-81,NA,NA,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Science Fiction,NA,60,6,45
389,Heartbeeps,6000000,6000000,NA,10000000,18-Dec-81,NA,NA,Universal,Original Screenplay,Comedy,Science Fiction,NA,NA,4.1,620
390,The Helix...  Loaded,3700,3700,NA,1000000,18-Mar-05,R,NA,Romar,Original Screenplay,Comedy,NA,NA,NA,1.5,486
391,Hang 'em High,6800000,6800000,NA,1800000,3-Aug-68,NA,NA,United Artists,Original Screenplay,Western,Historical Fiction,NA,93,6.9,10292
392,Hellraiser,14564000,14564000,NA,1000000,18-Sep-87,NA,NA,New World,Based on Book/Short Story,Horror,Fantasy,NA,63,7,22442
393,Hero,19487173,66787173,NA,42000000,2-Oct-92,NA,NA,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Frears,NA,6.4,323
394,Highlander III: The Sorcerer,13738574,13738574,NA,26000000,27-Jan-95,PG-13,NA,Miramax,Original Screenplay,Action,Fantasy,NA,NA,3.8,7763
395,Highlander,5900000,12900000,NA,16000000,7-Mar-86,R,NA,20th Century Fox,Original Screenplay,Action,Fantasy,Russell Mulcahy,66,7.2,40802
396,High Noon,8000000,8000000,NA,730000,1952,NA,NA,NA,NA,NA,NA,Fred Zinnemann,95,8.3,34163
397,History of the World: Part I,31672000,31672000,NA,11000000,12-Jun-81,NA,NA,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Mel Brooks,NA,6.5,16691
398,"Hello, Dolly",33208099,33208099,NA,24000000,16-Dec-69,NA,NA,NA,NA,NA,NA,NA,NA,4.4,254
399,Halloween II,25533818,25533818,NA,2500000,30-Oct-81,NA,NA,Universal,NA,Horror,Contemporary Fiction,Rick Rosenthal,27,4.9,12197
400,Halloween 3: Season of the Witch,14400000,14400000,NA,2500000,22-Oct-82,NA,NA,Universal,NA,Horror,Contemporary Fiction,NA,NA,3.8,12644
401,Halloween 4: The Return of Michael Myers,17768757,17768757,NA,5000000,1-Oct-88,NA,NA,Universal,NA,Horror,Fantasy,Dwight H. Little,23,5.6,11079
402,Halloween 5: The Revenge of Michael Myers,11642254,11642254,NA,6000000,13-Oct-89,NA,NA,Galaxy International Releasing,NA,Horror,Fantasy,NA,14,NA,NA
403,Halloween:  The Curse of Michael Myers,15126948,15126948,NA,5000000,29-Sep-95,R,NA,Miramax,NA,Horror,Contemporary Fiction,NA,NA,4.4,8576
404,Halloween,47000000,70000000,NA,325000,17-Oct-78,NA,NA,NA,NA,Horror,NA,John Carpenter,93,6,39866
405,Home Alone 2: Lost in New York,173585516,358994850,NA,20000000,20-Nov-92,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,21,5.8,51408
406,Home Alone,285761243,476684675,NA,15000000,16-Nov-90,PG,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Chris Columbus,47,7,79080
407,Home Movies,89134,89134,NA,400000,16-May-80,NA,NA,NA,NA,NA,NA,NA,NA,5.3,291
408,Hum to Mohabbt Karega,121807,121807,NA,2000000,26-May-00,Not Rated,NA,NA,NA,Drama,NA,NA,NA,3.6,74
409,The Hotel New Hampshire,5142858,5142858,NA,7500000,9-Mar-84,NA,NA,Orion Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,NA,69,5.8,4387
410,Henry V,10161099,10161099,NA,9000000,8-Nov-89,PG-13,NA,Goldwyn Entertainment,Based on Play,Action,Historical Fiction,Kenneth Branagh,100,7.9,14499
411,Housefull,1183658,14883658,NA,10100000,30-Apr-10,NA,NA,Eros Entertainment,NA,NA,NA,NA,NA,4.6,687
412,Hook,119654823,300854823,NA,70000000,11-Dec-91,NA,NA,Sony Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Steven Spielberg,24,6.2,60159
413,House Party 2,19438638,19438638,NA,5000000,23-Oct-91,NA,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,25,4.3,1596
414,Hocus Pocus,39360491,39360491,NA,28000000,16-Jul-93,NA,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,NA,29,6,15893
415,The Howling,17985000,17985000,NA,1000000,10-Apr-81,NA,NA,NA,NA,NA,NA,Joe Dante,60,6.5,8731
416,High Plains Drifter,15700000,15700000,NA,15700000,1-Jan-72,NA,NA,Universal,Original Screenplay,Western,Historical Fiction,Clint Eastwood,NA,7.6,15718
417,Hoop Dreams,7768371,11768371,NA,700000,14-Oct-94,PG-13,NA,Fine Line,Based on Real Life Events,Documentary,Factual,NA,98,8,9492
418,Happy Gilmore,38623460,38623460,NA,10000000,16-Feb-96,PG-13,92,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,58,6.9,54111
419,The Hudsucker Proxy,2816518,14938149,NA,40000000,11-Mar-94,PG,NA,Warner Bros.,Original Screenplay,Comedy,NA,Joel Coen,58,7.4,32344
420,A Hard Day's Night,12299668,12299668,NA,560000,11-Aug-64,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,NA,100,7.6,15291
421,Heroes,655538,655538,NA,400000,24-Oct-08,R,NA,Eros Entertainment,Original Screenplay,Adventure,Contemporary Fiction,NA,NA,6.1,505
422,The Hunt for Red October,120709866,200500000,NA,30000000,2-Mar-90,NA,NA,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,John McTiernan,95,7.6,55202
423,Harper,12000000,12000000,NA,3500000,23-Feb-66,NA,NA,NA,NA,NA,NA,NA,NA,7,2395
424,Harriet the Spy,26570048,26570048,NA,13000000,10-Jul-96,PG,101,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,45,5.8,2963
425,Le hussard sur le toit,1320043,1320043,NA,35000000,19-Apr-96,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.9,3083
426,The Hustler,7600000,7600000,NA,2000000,25-Sep-61,NA,NA,NA,NA,NA,NA,NA,97,8.1,25385
427,Hud,10000000,10000000,NA,2500000,29-May-63,NA,NA,NA,NA,NA,NA,Martin Ritt,79,3.4,93
428,Hudson Hawk,17218916,17218916,NA,65000000,24-May-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20,5.3,21920
429,Heaven's Gate,3484331,3484331,NA,44000000,19-Nov-80,NA,NA,NA,NA,NA,NA,Michael Cimino,NA,6.5,4649
430,Hav Plenty,2301777,2301777,NA,650000,19-Jun-98,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.6,580
431,House of Wax,23800000,23800000,NA,658000,10-Apr-53,R,NA,NA,NA,NA,NA,NA,94,5.4,32159
432,Hawaii,34562222,34562222,NA,15000000,10-Oct-66,NA,NA,MGM,NA,NA,NA,George Roy Hill,NA,6.4,1153
433,Howard the Duck,16295774,16295774,NA,30000000,1-Aug-86,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,16,4.1,16051
434,High Anxiety,31063038,31063038,NA,3400000,23-Dec-77,NA,NA,NA,NA,NA,NA,Mel Brooks,73,6.5,7025
435,Hybrid,162605,162605,NA,200000,10-May-02,Not Rated,NA,Indican Pictures,Based on Real Life Events,Documentary,Factual,NA,NA,2.2,380
436,It's a Wonderful Life,6600000,6600000,19339789,3180000,1946,NA,NA,NA,NA,NA,NA,Frank Capra,94,8.7,101499
437,The Ice Pirates,13075390,13075390,NA,9000000,16-Mar-84,NA,NA,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,NA,11,5.1,3600
438,Independence Day,306169255,817400878,NA,75000000,2-Jul-96,PG-13,145,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61,6.5,149493
439,The Island of Dr. Moreau,27682712,27682712,NA,40000000,23-Aug-96,PG-13,95,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23,4.1,13770
440,In Her Line of Fire,884,884,NA,1000000,21-Apr-06,R,NA,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,NA,NA,3.5,337
441,The Indian in the Cupboard,35627222,35627222,NA,45000000,14-Jul-95,PG,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68,5.7,4836
442,I Love You _ Don't Touch Me!,33598,33598,NA,68000,20-Feb-98,NA,NA,MGM,NA,NA,NA,NA,NA,5.6,298
443,Illuminata,836641,836641,NA,10000000,6-Aug-99,R,NA,Artisan,Based on Play,Drama,Historical Fiction,NA,NA,6.1,1100
444,In Cold Blood,13000000,13000000,NA,3500000,1967,NA,NA,NA,NA,NA,NA,Richard Brooks,88,8.1,10562
445,In the Company of Men,2883661,2883661,NA,25000,1-Aug-97,R,NA,Sony Pictures Classics,Based on Play,Drama,Contemporary Fiction,Neil LaBute,89,7.2,7601
446,The Inkwell,8864699,8864699,NA,8000000,22-Apr-94,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,NA,29,5.7,542
447,Invaders from Mars,4884663,4984663,NA,12000000,6-Jun-86,NA,NA,Cannon,Remake,Horror,Science Fiction,Tobe Hooper,27,5,1933
448,L'incomparable mademoiselle C.,493905,493905,NA,3400000,23-Apr-04,Not Rated,NA,NA,NA,NA,NA,NA,NA,6.1,66
449,The Island,15716828,15716828,NA,22000000,13-Jun-80,PG-13,138,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,NA,6.9,82601
450,Eye See You,79161,1807990,NA,55000000,20-Sep-02,Not Rated,NA,NA,NA,NA,NA,NA,NA,5.1,397
451,In the Heat of the Night,24379978,24379978,NA,2000000,2-Aug-67,NA,NA,MGM,NA,NA,NA,Norman Jewison,96,8.1,22429
452,Jack,58617334,58617334,NA,45000000,9-Aug-96,PG-13,113,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17,5.3,17267
453,Jade,9812870,9812870,NA,50000000,13-Oct-95,R,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16,4.8,5279
454,Jingle All the Way,60592389,129832389,NA,60000000,22-Nov-96,PG,89,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16,4.9,22928
455,Dr. No,16067035,59567035,NA,1000000,8-May-63,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,NA,7.3,36019
456,The Jungle Book,44342956,44342956,NA,27000000,25-Dec-94,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,NA,5.8,5564
457,Judge Dredd,34687912,113487912,NA,85000000,30-Jun-95,R,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,NA,15,4.9,30736
458,The Jerky Boys,7555256,7555256,NA,4000000,3-Feb-95,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,10,3.9,1481
459,Jefferson in Paris,2461628,2461628,NA,14000000,31-Mar-95,PG-13,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,36,5.6,1464
460,JFK,70405498,205400000,NA,40000000,20-Dec-91,R,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83,8,59684
461,Journey from the Fall,635305,635305,NA,1300000,23-Mar-07,R,NA,Imaginasian,Original Screenplay,Drama,Historical Fiction,NA,92,7.2,586
462,Jekyll and Hyde... Together Again,3707583,3707583,NA,5000000,27-Aug-82,NA,NA,Universal,Based on Book/Short Story,Comedy,Science Fiction,NA,NA,5.5,486
463,Jumanji,100458310,262758310,NA,65000000,15-Dec-95,PG,NA,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48,6.4,54973
464,The Juror,22730924,22730924,NA,44000000,2-Feb-96,R,120,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,16,5.3,6482
465,Jerusalema,7294,7294,NA,2000000,11-Jun-10,R,NA,Anchor Bay Entertainment,Original Screenplay,NA,Historical Fiction,NA,NA,7.9,6777
466,Jurassic Park,357067947,923067947,NA,63000000,10-Jun-93,PG-13,NA,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87,7.9,151365
467,Johnny Suede,55000,55000,NA,500000,1991,NA,NA,Miramax,Original Screenplay,Drama,NA,NA,NA,5.8,1587
468,Jaws,260000000,470700000,NA,12000000,20-Jun-75,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100,8.3,138017
469,Jaws 2,102922376,208900376,NA,20000000,16-Jun-78,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,56,5.6,18793
470,Jaws 4: The Revenge,15728335,15728335,NA,23000000,17-Jul-87,PG-13,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,NA,2.6,15632
471,Kabhi Alvida Naa Kehna,3275443,32575443,NA,10750000,11-Aug-06,Not Rated,NA,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,NA,67,5.6,4128
472,Kickboxer,14533681,14533681,NA,1500000,8-Sep-89,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,Mark DiSalle,NA,5.5,11692
473,Kids,7412216,20412216,NA,1500000,21-Jul-95,Not Rated,90,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,NA,50,6.7,26122
474,Kingpin,25023424,32223424,NA,25000000,26-Jul-96,R,113,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51,6.7,28404
475,Kindergarten Cop,91457688,202000000,NA,26000000,21-Dec-90,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50,5.8,40433
476,King Kong (1933),10000000,10000000,NA,670000,7-Apr-33,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
477,King Kong,52614445,90614445,NA,23000000,17-Dec-76,NA,NA,NA,NA,NA,NA,John Guillermin,46,7.6,132720
478,Kiss of Death,14942422,14942422,NA,40000000,21-Apr-95,R,NA,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67,7.6,2374
479,Kingdom of the Spiders,17000000,17000000,NA,500000,1977,NA,NA,NA,NA,NA,NA,NA,44,5.7,1463
480,Keeping it Real: The Adventures of Greg Walloch,1358,1358,NA,100000,9-Nov-01,Not Rated,NA,Avatar,NA,NA,NA,NA,NA,NA,NA
481,Akira,19585,19585,NA,8000000,27-Apr-01,R,NA,NA,Based on Comic/Graphic Novel,Action,NA,NA,NA,7.9,39948
482,Krush Groove,11052713,11052713,NA,3000000,25-Oct-85,NA,NA,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.8,588
483,Krrish,1430721,32430721,NA,10000000,23-Jun-06,Not Rated,NA,AdLab Films,Original Screenplay,Action,Science Fiction,NA,100,6.1,2735
484,Kansas City,1353824,1353824,NA,19000000,16-Aug-96,R,NA,New Line,Original Screenplay,Drama,Historical Fiction,Robert Altman,58,6,2397
485,The Last Emperor,43984000,43984000,NA,25000000,20-Nov-87,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Dramatization,Bernardo Bertolucci,91,7.9,24262
486,Last Action Hero,50016394,137298489,NA,85000000,18-Jun-93,NA,NA,Sony Pictures,Original Screenplay,Action,Fantasy,John McTiernan,38,5.9,43171
487,Live and Let Die,35400000,161800000,NA,7000000,27-Jun-73,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,64,6.8,24044
488,Lage Raho Munnabhai,2217561,31517561,NA,2700000,1-Sep-06,Not Rated,NA,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7.8,5236
489,The Last Waltz,321952,321952,NA,35000,5-Apr-02,Not Rated,NA,MGM,NA,NA,NA,NA,NA,8,6893
490,The Last Big Thing,22434,22434,NA,1000000,25-Sep-98,R,NA,Stratosphere Entertainment,NA,NA,NA,NA,NA,6,139
491,The Land Before Time,48092846,81972846,NA,12300000,18-Nov-88,NA,NA,Universal,Original Screenplay,Adventure,Historical Fiction,Don Bluth,71,6.9,14017
492,The Longest Day,39100000,50100000,NA,10000000,4-Oct-62,NA,NA,20th Century Fox,Based on Real Life Events,Action,Dramatization,NA,92,7.8,17712
493,The Living Daylights,51185000,191200000,NA,40000000,31-Jul-87,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73,6.7,23735
494,Aladdin,217350219,504050219,NA,28000000,11-Nov-92,G,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,NA,NA,7.8,69090
495,A Low Down Dirty Shame,29317886,29317886,NA,10000000,23-Nov-94,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,NA,5.4,1847
496,Love and Death on Long Island,2542264,2542264,NA,4030000,6-Mar-98,PG-13,NA,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.9,2506
497,Ladyhawke,18400000,18400000,NA,20000000,12-Apr-85,NA,NA,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63,6.7,15260
498,Nikita,5017971,5017971,NA,7000000,8-Mar-91,NA,NA,Goldwyn Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,NA,7.5,24872
499,Lion of the Desert,1500000,1500000,NA,35000000,1980,NA,NA,United Film Distribution Co.,NA,NA,NA,NA,NA,7.8,2659
500,Legal Eagles,49851591,49851591,NA,40000000,18-Jun-86,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50,5.6,4471
501,Legend,15502112,15502112,NA,25000000,18-Apr-86,NA,NA,Universal,Original Screenplay,Adventure,Fantasy,Ridley Scott,NA,6.1,20734
502,The Last House on the Left,3100000,3100000,NA,87000,30-Aug-72,R,NA,NA,NA,NA,NA,NA,63,6.7,22141
503,Lifeforce,11603545,11603545,NA,25000000,21-Jun-85,NA,NA,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57,5.8,5727
504,Lady in White,1705139,1705139,NA,4700000,22-Apr-88,NA,NA,New Century Vista Film Company,Original Screenplay,Horror,Fantasy,NA,73,6.6,2221
505,The Long Kiss Goodnight,33447612,33447612,NA,65000000,11-Oct-96,R,120,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69,6.6,28257
506,Lake of Fire,25317,25317,NA,6000000,3-Oct-07,Not Rated,NA,ThinkFilm,Based on Real Life Events,Documentary,Factual,NA,NA,8.4,1027
507,Elling,313436,313436,NA,2100000,29-May-02,R,NA,NA,NA,NA,NA,NA,NA,7.5,7114
508,Lolita (1962),9250000,9250000,NA,2000000,1-Jan-62,NA,NA,NA,NA,Drama,NA,Stanley Kubrick,NA,NA,NA
509,Elmer Gantry,10400000,10400000,NA,3000000,1960,NA,NA,NA,NA,NA,NA,Richard Brooks,96,7.8,4185
510,El Mariachi,2040920,2040920,NA,7000,26-Feb-93,NA,NA,Sony/Columbia,Original Screenplay,Action,NA,Robert Rodriguez,NA,7,19668
511,Last Man Standing,18115927,18115927,NA,67000000,20-Sep-96,R,100,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,NA,NA,NA
512,Aliens,85160248,183316455,NA,17000000,18-Jul-86,R,137,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100,7.5,84
513,Alien³,54927174,158500000,NA,55000000,22-May-92,R,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37,6.3,78860
514,The Lion King,328539505,783839505,NA,79300000,15-Jun-94,G,NA,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92,8.2,136503
515,Love and Death,20123742,20123742,NA,3000000,10-Jun-75,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100,7.6,12111
516,Love and Other Catastrophes,212285,743216,NA,250000,28-Mar-97,R,NA,Fox Searchlight,NA,Comedy,NA,NA,NA,5.7,1406
517,Love Letters,5269990,5269990,NA,550000,27-Apr-84,PG-13,NA,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,7.3,477
518,The Legend of the Lone Ranger,13400000,13400000,NA,18000000,22-May-81,NA,NA,Universal,Remake,Western,Historical Fiction,NA,NA,4.6,755
519,The Last of the Mohicans,72455275,72455275,NA,40000000,25-Sep-92,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Historical Fiction,Michael Mann,97,7.8,45410
520,Love Me Tender,9000000,9000000,NA,1000000,1956,NA,NA,NA,NA,NA,NA,NA,38,5.9,1301
521,The Long Riders,15198912,15198912,NA,10000000,16-May-80,NA,NA,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79,7.1,3791
522,Losin' It,1246141,1246141,NA,7000000,8-Apr-83,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1668
523,The Loss of Sexual Innocence,399793,399793,NA,4000000,28-May-99,NA,NA,Sony Pictures,NA,NA,NA,Mike Figgis,45,4.9,2263
524,Legends of the Fall,66502573,66502573,NA,30000000,23-Dec-94,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63,7.1,39815
525,A League of Their Own,107533925,132440066,NA,40000000,1-Jul-92,NA,NA,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81,6.9,33426
